,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4I8HA,2QXIA,Bovine Trypsin At 0.75 Resolution,1.2,221,224,44.3
1,4XSKU,2QXIA,"Structure Of Paitrap, An Upa Mutant",2.1,220,224,37.3
2,1AZZA,2QXIA,Fiddler Crab Collagenase Complexed To Ecotin,1.6,219,224,31.1
3,5AVDA,2QXIA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,219,224,29.7
4,1VZQH,2QXIA,Complex Of Thrombin With Designed Inhibitor 7165,1.4,218,224,33.0
5,4Z6AH,2QXIA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.6,218,224,33.9
6,1EAXA,2QXIA,Crystal Structure Of Mtsp1 (Matriptase),1.2,217,224,32.7
7,2AIQA,2QXIA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.8,217,224,35.9
8,3TVJB,2QXIA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,217,224,33.6
9,4FXGH,2QXIA,Complement C4 In Complex With Masp-2,1.6,217,224,33.2
10,1FIZA,2QXIA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.3,216,224,31.5
11,4AFQA,2QXIA,Human Chymase - Fynomer Complex,1.5,215,224,39.1
12,1M9UA,2QXIA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,214,224,29.9
13,3H7TA,2QXIA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,214,224,26.2
14,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
15,1PQ7A,2QXIA,"Trypsin At 0.8 A, Ph5  BORAX",1.3,213,224,34.7
16,2OQ5A,2QXIA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.3,213,224,34.3
17,2XW9A,2QXIA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,213,224,31.5
18,2F91A,2QXIA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.2,212,224,34.9
19,1EQ9A,2QXIA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,211,224,30.8
20,4WVPE,2QXIA,Crystal Structure Of An Activity-based Probe Hne Complex,1.8,210,224,28.1
21,3BEUA,2QXIA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.6,209,224,31.1
22,5EDMA,2QXIA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,208,224,32.7
23,2HLCA,2QXIA,Hl Collagenase Structure At 1.7a Resolution,1.6,207,224,29.0
24,3H7OA,2QXIA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.1,205,224,26.8
25,4MNWA,2QXIA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,202,224,38.6
26,3NXPA,2QXIA,Crystal Structure Of Human Prethrombin-1,2.0,200,224,34.0
27,5EDKA,2QXIA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,200,224,34.5
28,4A5TS,2QXIA,Structural Basis For The Conformational Modulation,1.8,198,224,38.9
29,1DDJA,2QXIA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,196,224,37.8
30,2OLGA,2QXIA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.9,193,224,32.1
31,3WY8A,2QXIA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.1,193,224,13.0
32,5HU6C,2QXIA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,193,224,30.1
33,3F1SB,2QXIA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.1,192,224,24.5
34,2B9LA,2QXIA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.9,191,224,31.9
35,4LK4A,2QXIA,Structure Of Vibrio Cholerae Vesb Protease,1.6,186,224,37.1
36,1P3CA,2QXIA,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,169,224,16.6
37,3LGIB,2QXIA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.7,169,224,17.2
38,1AGJA,2QXIA,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,167,224,16.2
39,1WCZA,2QXIA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,165,224,14.5
40,5HMAA,2QXIA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,164,224,20.1
41,1ARBA,2QXIA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,163,224,19.6
42,4FLNA,2QXIA,Crystal Structure Of Plant Protease Deg2,2.6,163,224,14.7
43,1TE0A,2QXIA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.9,162,224,17.3
44,3K6YA,2QXIA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,162,224,17.9
45,1ZYOA,2QXIA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.8,159,224,18.2
46,2XRCB,2QXIA,Human Complement Factor I,1.8,159,224,39.6
47,1L1JA,2QXIA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.8,158,224,15.8
48,2Z9IA,2QXIA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.4,158,224,17.7
49,3UFAA,2QXIA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.2,158,224,15.2
50,4RI0A,2QXIA,"Serine Protease Htra3, Mutationally Inactivated",2.5,156,224,16.7
51,3WOKA,2QXIA,Crystal Structure Of The Dap Bii (space),2.3,155,224,18.1
52,1LVMA,2QXIA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,149,224,14.8
53,2W5EA,2QXIA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,143,224,12.6
54,2QA9E,2QXIA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.6,142,224,22.5
55,2H5CA,2QXIA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,141,224,18.4
56,5BPEA,2QXIA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,140,224,17.1
57,1WQSA,2QXIA,Crystal Structure Of Norovirus 3c-Like Protease,3.1,139,224,15.8
58,2HALA,2QXIA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.5,135,224,16.3
59,2XYAA,2QXIA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.5,134,224,17.2
60,2OUAA,2QXIA,Crystal Structure Of Nocardiopsis Protease (Napase),2.3,133,224,22.6
61,2J92A,2QXIA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.6,132,224,12.1
62,2PKAB,2QXIA,Kallikrein A (E.C.3.4.21.8),1.1,131,224,39.7
63,5HM2E,2QXIA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.6,131,224,13.7
64,4WMEA,2QXIA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,128,224,10.2
65,5EU8A,2QXIA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.4,124,224,11.3
66,4XFQA,2QXIA,Crystal Structure Basis For Pedv 3c Like Protease,2.6,124,224,12.9
67,5DGJA,2QXIA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.6,122,224,17.2
68,4ZROA,2QXIA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.3,118,224,11.0
69,2GGVB,2QXIA,"Crystal Structure Of The West Nile Virus Ns2b-Ns3 Protease, His51ala Mutant",2.3,113,224,14.2
70,4JCNA,4XSKU,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,197,246,13.7
71,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
72,2XWBF,4Z6AH,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.3,205,249,22.4
73,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
74,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
75,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
76,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
77,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
78,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
79,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
80,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
81,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
82,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
83,3FANA,2W5EA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.6,129,163,18.6
84,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
85,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
86,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
87,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
88,4X2VB,1WQSA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,1.9,169,173,58.6
89,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
