,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4Z6AH,1HCGA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.2,227,241,40.5
1,1VZQH,1HCGA,Complex Of Thrombin With Designed Inhibitor 7165,1.3,226,241,39.8
2,4XSKU,1HCGA,"Structure Of Paitrap, An Upa Mutant",2.2,224,241,31.2
3,1FIZA,1HCGA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.7,223,241,31.8
4,1EAXA,1HCGA,Crystal Structure Of Mtsp1 (Matriptase),1.4,221,241,33.0
5,4FXGH,1HCGA,Complement C4 In Complex With Masp-2,1.6,221,241,35.7
6,3TVJB,1HCGA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,220,241,36.4
7,2F91A,1HCGA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,218,241,37.6
8,3NXPA,1HCGA,Crystal Structure Of Human Prethrombin-1,2.1,218,241,40.4
9,5AVDA,1HCGA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.4,218,241,31.7
10,2XW9A,1HCGA,Crystal Structure Of Complement Factor D Mutant S183a,1.8,217,241,29.0
11,5EDMA,1HCGA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.9,217,241,40.6
12,2HLCA,1HCGA,Hl Collagenase Structure At 1.7a Resolution,2.0,216,241,29.6
13,2OQ5A,1HCGA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.6,216,241,34.7
14,5EDKA,1HCGA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.9,215,241,40.5
15,1AZZA,1HCGA,Fiddler Crab Collagenase Complexed To Ecotin,1.9,214,241,30.8
16,1M9UA,1HCGA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,214,241,29.4
17,2QXIA,1HCGA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,214,241,31.8
18,4AFQA,1HCGA,Human Chymase - Fynomer Complex,1.8,214,241,29.0
