,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2F91A,1EXFA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",3.7,196,242,11.7
1,1WCZA,1EXFA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,1.4,195,242,28.2
2,1P3CA,1EXFA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,188,242,25.5
3,3WY8A,1EXFA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.6,188,242,18.1
4,1EAXA,1EXFA,Crystal Structure Of Mtsp1 (Matriptase),2.5,184,242,15.8
5,4WVPE,1EXFA,Crystal Structure Of An Activity-based Probe Hne Complex,2.6,183,242,14.8
6,1AZZA,1EXFA,Fiddler Crab Collagenase Complexed To Ecotin,2.5,181,242,16.0
7,1M9UA,1EXFA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.5,181,242,13.3
8,3UFAA,1EXFA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.0,180,242,31.1
9,3WOKA,1EXFA,Crystal Structure Of The Dap Bii (space),2.9,180,242,17.8
10,4XSKU,1EXFA,"Structure Of Paitrap, An Upa Mutant",2.9,180,242,12.2
11,1DDJA,1EXFA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.8,179,242,16.2
12,1EQ9A,1EXFA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.5,179,242,17.3
13,1PQ7A,1EXFA,"Trypsin At 0.8 A, Ph5  BORAX",2.4,178,242,16.3
14,2OQ5A,1EXFA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.5,178,242,15.7
15,3BEUA,1EXFA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.8,178,242,15.2
16,4Z6AH,1EXFA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.6,176,242,13.1
17,2XW9A,1EXFA,Crystal Structure Of Complement Factor D Mutant S183a,2.3,174,242,15.5
18,4FXGH,1EXFA,Complement C4 In Complex With Masp-2,2.3,174,242,17.2
19,4MNWA,1EXFA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.9,174,242,13.2
20,1FIZA,1EXFA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.4,173,242,18.5
21,4AFQA,1EXFA,Human Chymase - Fynomer Complex,2.3,173,242,17.9
22,3H7TA,1EXFA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,172,242,15.7
23,4A5TS,1EXFA,Structural Basis For The Conformational Modulation,2.6,172,242,16.3
24,2AIQA,1EXFA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.8,171,242,18.1
25,4I8HA,1EXFA,Bovine Trypsin At 0.75 Resolution,2.6,170,242,15.3
26,1ARBA,1EXFA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.5,169,242,16.0
27,2QXIA,1EXFA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.7,169,242,16.0
28,5HU6C,1EXFA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.3,169,242,13.6
29,2XRCB,1EXFA,Human Complement Factor I,2.9,168,242,14.9
30,4LK4A,1EXFA,Structure Of Vibrio Cholerae Vesb Protease,2.2,168,242,16.1
31,3H7OA,1EXFA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,167,242,15.0
32,3TVJB,1EXFA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.2,167,242,19.2
33,1ZYOA,1EXFA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.4,165,242,15.2
34,3LGIB,1EXFA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.2,164,242,21.3
35,5AVDA,1EXFA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.3,164,242,12.8
36,5HMAA,1EXFA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,164,242,16.5
37,2HLCA,1EXFA,Hl Collagenase Structure At 1.7a Resolution,2.3,162,242,13.6
38,3NXPA,1EXFA,Crystal Structure Of Human Prethrombin-1,2.5,162,242,17.9
39,5EDMA,1EXFA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.5,162,242,17.9
40,2Z9IA,1EXFA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.0,161,242,21.1
41,1LVMA,1EXFA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,160,242,21.3
42,1L1JA,1EXFA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.1,159,242,22.0
43,1TE0A,1EXFA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,159,242,21.4
44,1VZQH,1EXFA,Complex Of Thrombin With Designed Inhibitor 7165,2.0,159,242,18.9
45,4RI0A,1EXFA,"Serine Protease Htra3, Mutationally Inactivated",2.0,155,242,22.6
46,2HALA,1EXFA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.8,151,242,13.2
47,2OLGA,1EXFA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.2,149,242,19.5
48,2XYAA,1EXFA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.0,149,242,12.8
49,5HM2E,1EXFA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.7,149,242,16.1
50,2J92A,1EXFA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.4,148,242,15.5
51,3K6YA,1EXFA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",1.9,148,242,17.6
