,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4XSKU,2AIQA,"Structure Of Paitrap, An Upa Mutant",2.5,221,231,30.3
1,1AZZA,2AIQA,Fiddler Crab Collagenase Complexed To Ecotin,1.8,217,231,34.1
2,2QXIA,2AIQA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.8,217,231,35.9
3,1VZQH,2AIQA,Complex Of Thrombin With Designed Inhibitor 7165,1.7,216,231,30.6
4,4I8HA,2AIQA,Bovine Trypsin At 0.75 Resolution,1.5,216,231,38.4
5,4Z6AH,2AIQA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,216,231,32.9
6,1M9UA,2AIQA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,215,231,27.0
7,3TVJB,2AIQA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,215,231,31.6
8,4AFQA,2AIQA,Human Chymase - Fynomer Complex,1.7,214,231,29.9
9,5AVDA,2AIQA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.6,214,231,32.7
10,1EAXA,2AIQA,Crystal Structure Of Mtsp1 (Matriptase),1.4,213,231,29.6
11,4FXGH,2AIQA,Complement C4 In Complex With Masp-2,1.6,213,231,31.5
12,1FIZA,2AIQA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,211,231,33.2
13,2OQ5A,2AIQA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.9,211,231,31.8
14,1EQ9A,2AIQA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.9,210,231,23.3
15,5EDMA,2AIQA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.4,209,231,30.6
16,2XW9A,2AIQA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,208,231,30.3
17,1PQ7A,2AIQA,"Trypsin At 0.8 A, Ph5  BORAX",1.7,207,231,27.5
18,2F91A,2AIQA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,207,231,30.9
19,3BEUA,2AIQA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.9,206,231,28.2
20,3H7TA,2AIQA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,204,231,23.5
21,3H7OA,2AIQA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,201,231,25.4
22,4WVPE,2AIQA,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,201,231,28.4
23,5EDKA,2AIQA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.4,201,231,30.8
24,2HLCA,2AIQA,Hl Collagenase Structure At 1.7a Resolution,2.0,199,231,24.1
25,1DDJA,2AIQA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,199,231,34.2
26,2OLGA,2AIQA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.1,199,231,30.7
27,2B9LA,2AIQA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.4,196,231,28.1
28,4MNWA,2AIQA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,196,231,31.6
29,3NXPA,2AIQA,Crystal Structure Of Human Prethrombin-1,2.1,194,231,33.0
30,4A5TS,2AIQA,Structural Basis For The Conformational Modulation,2.0,193,231,34.2
31,3F1SB,2AIQA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.6,188,231,16.5
32,2XWBF,2AIQA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,187,231,21.9
33,5HU6C,2AIQA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.8,187,231,29.4
34,3WY8A,2AIQA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,182,231,13.2
35,4LK4A,2AIQA,Structure Of Vibrio Cholerae Vesb Protease,1.8,178,231,25.3
36,1P3CA,2AIQA,Glutamyl Endopeptidase From Bacillus Intermedius,2.3,173,231,20.2
37,1WCZA,2AIQA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.3,172,231,10.5
38,1ARBA,2AIQA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.1,172,231,19.2
39,3LGIB,2AIQA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,167,231,16.8
40,1AGJA,2AIQA,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,165,231,19.4
41,4FLNA,2AIQA,Crystal Structure Of Plant Protease Deg2,2.8,164,231,14.0
42,1L1JA,2AIQA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.7,162,231,16.0
43,2XRCB,2AIQA,Human Complement Factor I,2.4,162,231,29.0
44,3WOKA,2AIQA,Crystal Structure Of The Dap Bii (space),2.6,162,231,15.4
45,2Z9IA,2AIQA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.5,159,231,15.1
46,5HMAA,2AIQA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,159,231,13.2
47,3K6YA,2AIQA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,158,231,19.0
48,3UFAA,2AIQA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.1,158,231,13.9
49,1ZYOA,2AIQA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,157,231,17.2
50,4RI0A,2AIQA,"Serine Protease Htra3, Mutationally Inactivated",2.5,156,231,14.1
51,1TE0A,2AIQA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,150,231,18.7
52,1LVMA,2AIQA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,149,231,13.4
53,2H5CA,2AIQA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.5,146,231,19.9
54,2W5EA,2AIQA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,143,231,16.8
55,2HALA,2AIQA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.8,143,231,12.6
56,5DGJA,2AIQA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",3.3,143,231,11.2
57,2J92A,2AIQA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.5,141,231,17.7
58,5BPEA,2AIQA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.5,141,231,16.3
59,2OUAA,2AIQA,Crystal Structure Of Nocardiopsis Protease (Napase),2.3,140,231,20.7
60,2QA9E,2AIQA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.4,139,231,18.0
61,2XYAA,2AIQA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.6,137,231,18.2
62,5HM2E,2AIQA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.4,136,231,20.6
63,2PKAB,2AIQA,Kallikrein A (E.C.3.4.21.8),1.1,130,231,44.6
64,1MBMB,2AIQA,Nsp4 Proteinase From Equine Arteritis Virus,3.1,130,231,13.1
65,1WYKA,2AIQA,Sindbis Virus Capsid Protein (114-264),3.2,128,231,14.8
66,4ZROA,2AIQA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.3,127,231,11.0
67,5EU8A,2AIQA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.3,127,231,11.0
68,4XFQA,2AIQA,Crystal Structure Basis For Pedv 3c Like Protease,2.2,126,231,11.9
69,3FANA,2AIQA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.9,122,231,16.4
70,5ETXC,2AIQA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.5,118,231,20.3
71,4X2VB,2AIQA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.5,116,231,13.8
72,4JCNA,4XSKU,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,197,246,13.7
73,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
74,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
75,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
76,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
77,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
78,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
79,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
80,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
81,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
82,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
83,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
84,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
85,4WMEA,2W5EA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,133,163,14.3
86,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
87,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
88,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
89,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
90,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
91,3QO6B,1WYKA,Crystal Structure Analysis Of The Plant Protease Deg1,3.2,129,152,11.6
92,4NSYB,1WYKA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,3.5,129,152,10.9
93,1DUAA,1WYKA,Crystal Structure Of Exfoliative Toxin A,3.2,128,152,10.9
94,2AYWA,1WYKA,Crystal Structure Of The Complex Formed Between Trypsin And A Designed Synthetic Highly Potent Inhibitor In The Presence Of Benzamidine At 0.97 A Resolution,3.1,125,152,13.6
95,2R3UA,1WYKA,Crystal Structure Of The Pdz Deletion Mutant Of Degs,3.0,125,152,12.8
96,1A5HA,1WYKA,Catalytic Domain Of Human Two-Chain Tissue Plasminogen Activator Complex Of A Bis-Benzamidine,3.0,119,152,14.3
97,2YOLA,1WYKA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.6,118,152,14.4
98,1FUJB,1WYKA,Pr3 (Myeloblastin),2.7,117,152,14.5
