,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4I8HA,1BRAA,Bovine Trypsin At 0.75 Resolution,0.4,223,223,73.1
1,2QXIA,1BRAA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.1,221,223,43.4
2,5AVDA,1BRAA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.1,220,223,38.6
3,4XSKU,1BRAA,"Structure Of Paitrap, An Upa Mutant",1.8,220,223,35.0
4,1AZZA,1BRAA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,219,223,40.6
5,1FIZA,1BRAA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.3,219,223,35.6
6,1EAXA,1BRAA,Crystal Structure Of Mtsp1 (Matriptase),0.9,219,223,40.2
7,4MNWA,1BRAA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.0,219,223,35.6
8,2F91A,1BRAA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.2,218,223,46.8
9,4AFQA,1BRAA,Human Chymase - Fynomer Complex,1.5,218,223,38.1
10,1VZQH,1BRAA,Complex Of Thrombin With Designed Inhibitor 7165,1.1,217,223,37.8
11,4Z6AH,1BRAA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.1,217,223,44.2
12,2AIQA,1BRAA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.3,215,223,40.0
13,2XW9A,1BRAA,Crystal Structure Of Complement Factor D Mutant S183a,1.2,215,223,34.9
14,3TVJB,1BRAA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.2,214,223,34.1
15,1PQ7A,1BRAA,"Trypsin At 0.8 A, Ph5  BORAX",1.4,213,223,36.6
16,4FXGH,1BRAA,Complement C4 In Complex With Masp-2,1.2,213,223,34.3
17,2OQ5A,1BRAA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.3,212,223,38.7
18,3H7TA,1BRAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,212,223,27.8
19,1M9UA,1BRAA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,211,223,35.5
20,3BEUA,1BRAA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.6,209,223,30.6
21,4WVPE,1BRAA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,209,223,36.4
22,1EQ9A,1BRAA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.0,208,223,38.0
23,5EDMA,1BRAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.9,207,223,38.2
24,2HLCA,1BRAA,Hl Collagenase Structure At 1.7a Resolution,1.4,205,223,34.1
25,3H7OA,1BRAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,203,223,24.6
26,2B9LA,1BRAA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.1,202,223,30.7
