,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OLGA,2XXLA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.4,244,408,38.1
1,5EDKA,2XXLA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.6,235,408,31.5
2,5EDMA,2XXLA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.8,227,408,32.6
3,3NXPA,2XXLA,Crystal Structure Of Human Prethrombin-1,2.3,225,408,31.6
4,1VZQH,2XXLA,Complex Of Thrombin With Designed Inhibitor 7165,2.2,222,408,32.4
5,5AVDA,2XXLA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.3,217,408,30.9
6,1EAXA,2XXLA,Crystal Structure Of Mtsp1 (Matriptase),2.2,216,408,26.9
7,3TVJB,2XXLA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.2,216,408,32.9
8,4Z6AH,2XXLA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.9,216,408,30.1
9,4XSKU,2XXLA,"Structure Of Paitrap, An Upa Mutant",2.7,214,408,28.5
10,1FIZA,2XXLA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.2,213,408,32.4
11,2F91A,2XXLA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.2,213,408,33.3
12,4FXGH,2XXLA,Complement C4 In Complex With Masp-2,2.4,213,408,30.5
13,2B9LA,2XXLA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.3,212,408,32.5
14,3H7OA,2XXLA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.6,210,408,24.8
15,4AFQA,2XXLA,Human Chymase - Fynomer Complex,2.1,209,408,34.4
16,4LK4A,2XXLA,Structure Of Vibrio Cholerae Vesb Protease,2.6,209,408,23.9
