,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4I8HA,1TRNA,Bovine Trypsin At 0.75 Resolution,0.6,223,224,74.9
1,2QXIA,1TRNA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.2,222,224,42.3
2,5AVDA,1TRNA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.2,220,224,37.3
3,1AZZA,1TRNA,Fiddler Crab Collagenase Complexed To Ecotin,1.6,219,224,34.7
4,1EAXA,1TRNA,Crystal Structure Of Mtsp1 (Matriptase),1.0,219,224,42.5
5,1FIZA,1TRNA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.3,218,224,35.3
6,2F91A,1TRNA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.3,218,224,44.0
7,4Z6AH,1TRNA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.3,218,224,43.6
8,4AFQA,1TRNA,Human Chymase - Fynomer Complex,1.5,217,224,36.9
9,4MNWA,1TRNA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,217,224,35.5
10,4XSKU,1TRNA,"Structure Of Paitrap, An Upa Mutant",1.7,217,224,35.0
11,1VZQH,1TRNA,Complex Of Thrombin With Designed Inhibitor 7165,1.1,216,224,37.5
12,2AIQA,1TRNA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.3,215,224,40.0
13,3TVJB,1TRNA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.3,215,224,36.3
14,4FXGH,1TRNA,Complement C4 In Complex With Masp-2,1.4,215,224,35.8
15,2XW9A,1TRNA,Crystal Structure Of Complement Factor D Mutant S183a,1.2,214,224,38.3
16,1PQ7A,1TRNA,"Trypsin At 0.8 A, Ph5  BORAX",1.4,213,224,38.0
17,1M9UA,1TRNA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,212,224,33.5
18,2OQ5A,1TRNA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.3,211,224,37.9
19,3BEUA,1TRNA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.7,210,224,30.0
20,3H7TA,1TRNA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,209,224,27.8
