,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4I8HA,1A0JA,Bovine Trypsin At 0.75 Resolution,1.0,223,223,73.5
1,2QXIA,1A0JA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,221,223,42.1
2,5AVDA,1A0JA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.4,220,223,39.5
3,4XSKU,1A0JA,"Structure Of Paitrap, An Upa Mutant",2.0,220,223,36.8
4,2AIQA,1A0JA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,219,223,38.8
5,4AFQA,1A0JA,Human Chymase - Fynomer Complex,1.5,219,223,38.8
6,1FIZA,1A0JA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,218,223,36.2
7,1EAXA,1A0JA,Crystal Structure Of Mtsp1 (Matriptase),1.1,218,223,40.8
8,4FXGH,1A0JA,Complement C4 In Complex With Masp-2,1.4,218,223,35.3
9,1AZZA,1A0JA,Fiddler Crab Collagenase Complexed To Ecotin,1.4,217,223,40.6
10,2F91A,1A0JA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,217,223,42.9
11,4Z6AH,1A0JA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.3,217,223,41.9
12,1VZQH,1A0JA,Complex Of Thrombin With Designed Inhibitor 7165,1.2,216,223,40.3
13,2XW9A,1A0JA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,215,223,39.1
14,3TVJB,1A0JA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.1,215,223,35.8
15,1PQ7A,1A0JA,"Trypsin At 0.8 A, Ph5  BORAX",1.6,213,223,39.0
16,3H7TA,1A0JA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,213,223,26.3
17,2OQ5A,1A0JA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.4,210,223,41.4
18,5EDMA,1A0JA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,209,223,39.2
19,1M9UA,1A0JA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.6,208,223,34.1
20,3BEUA,1A0JA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.6,208,223,31.7
21,1EQ9A,1A0JA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,207,223,31.4
22,2HLCA,1A0JA,Hl Collagenase Structure At 1.7a Resolution,1.4,205,223,32.2
23,3H7OA,1A0JA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,205,223,24.9
24,4WVPE,1A0JA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,204,223,34.8
25,4MNWA,1A0JA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,202,223,37.6
