,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4XSKU,1TRYA,"Structure Of Paitrap, An Upa Mutant",1.4,222,224,32.0
1,1EAXA,1TRYA,Crystal Structure Of Mtsp1 (Matriptase),1.3,221,224,33.0
2,4MNWA,1TRYA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.4,221,224,32.6
3,1M9UA,1TRYA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,220,224,35.0
4,1VZQH,1TRYA,Complex Of Thrombin With Designed Inhibitor 7165,1.5,219,224,36.5
5,2OQ5A,1TRYA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.3,219,224,33.8
6,1FIZA,1TRYA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.2,218,224,33.5
7,2F91A,1TRYA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.1,218,224,47.2
8,3TVJB,1TRYA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,217,224,38.2
9,4FXGH,1TRYA,Complement C4 In Complex With Masp-2,1.6,217,224,37.8
10,1AZZA,1TRYA,Fiddler Crab Collagenase Complexed To Ecotin,1.7,216,224,30.6
11,5AVDA,1TRYA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.4,216,224,31.0
12,2XW9A,1TRYA,Crystal Structure Of Complement Factor D Mutant S183a,1.5,215,224,32.1
13,2HLCA,1TRYA,Hl Collagenase Structure At 1.7a Resolution,1.9,214,224,28.5
14,2QXIA,1TRYA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,214,224,34.6
15,1EQ9A,1TRYA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,213,224,31.0
16,4I8HA,1TRYA,Bovine Trypsin At 0.75 Resolution,1.4,213,224,42.7
17,3H7TA,1TRYA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.7,212,224,29.2
18,4Z6AH,1TRYA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.4,212,224,34.0
19,2AIQA,1TRYA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.7,210,224,27.1
20,4AFQA,1TRYA,Human Chymase - Fynomer Complex,1.6,209,224,26.3
21,4WVPE,1TRYA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,209,224,28.2
22,1DDJA,1TRYA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,208,224,29.8
23,3H7OA,1TRYA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,208,224,28.8
24,4A5TS,1TRYA,Structural Basis For The Conformational Modulation,2.0,204,224,29.9
25,5EDMA,1TRYA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,203,224,35.5
