,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1EAXA,2F9PA,Crystal Structure Of Mtsp1 (Matriptase),1.5,227,245,42.3
1,2F91A,2F9PA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,227,245,37.4
2,1VZQH,2F9PA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,226,245,36.7
3,3TVJB,2F9PA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.6,226,245,31.4
4,4FXGH,2F9PA,Complement C4 In Complex With Masp-2,1.7,225,245,31.1
5,4Z6AH,2F9PA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,224,245,37.5
6,1FIZA,2F9PA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,223,245,36.3
7,5AVDA,2F9PA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,222,245,41.4
8,2OQ5A,2F9PA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.2,221,245,41.6
9,4MNWA,2F9PA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,221,245,34.4
10,1PQ7A,2F9PA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,219,245,33.3
11,3H7TA,2F9PA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,219,245,24.2
12,4XSKU,2F9PA,"Structure Of Paitrap, An Upa Mutant",1.5,219,245,34.2
13,1M9UA,2F9PA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,218,245,29.8
14,2HLCA,2F9PA,Hl Collagenase Structure At 1.7a Resolution,2.1,216,245,31.0
15,1EQ9A,2F9PA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,216,245,33.3
16,2XW9A,2F9PA,Crystal Structure Of Complement Factor D Mutant S183a,1.5,216,245,35.2
17,1AZZA,2F9PA,Fiddler Crab Collagenase Complexed To Ecotin,1.8,212,245,38.7
18,2QXIA,2F9PA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,211,245,38.4
19,4I8HA,2F9PA,Bovine Trypsin At 0.75 Resolution,1.3,211,245,41.7
20,2B9LA,2F9PA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.9,209,245,31.1
21,4WVPE,2F9PA,Crystal Structure Of An Activity-based Probe Hne Complex,1.8,209,245,33.0
22,5HU6C,2F9PA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.5,209,245,28.2
23,5EDKA,2F9PA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,208,245,38.5
24,2AIQA,2F9PA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.9,207,245,32.9
25,4AFQA,2F9PA,Human Chymase - Fynomer Complex,1.8,207,245,35.3
26,5EDMA,2F9PA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.9,207,245,37.7
27,3H7OA,2F9PA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,205,245,27.8
28,3NXPA,2F9PA,Crystal Structure Of Human Prethrombin-1,1.9,204,245,39.2
29,1DDJA,2F9PA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.7,203,245,42.9
30,4A5TS,2F9PA,Structural Basis For The Conformational Modulation,1.8,202,245,42.6
31,3BEUA,2F9PA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,197,245,34.5
32,3F1SB,2F9PA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,194,245,23.7
33,4LK4A,2F9PA,Structure Of Vibrio Cholerae Vesb Protease,2.1,194,245,32.5
34,2OLGA,2F9PA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,192,245,33.3
35,2XWBF,2F9PA,Crystal Structure Of Complement C3b In Complex With Factors B And D,1.8,184,245,26.1
36,1WCZA,2F9PA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,181,245,13.8
37,3WY8A,2F9PA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,172,245,14.0
38,1ARBA,2F9PA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,170,245,15.9
39,2XRCB,2F9PA,Human Complement Factor I,1.9,168,245,38.7
40,3LGIB,2F9PA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.9,166,245,15.7
41,1P3CA,2F9PA,Glutamyl Endopeptidase From Bacillus Intermedius,2.3,163,245,14.7
42,4RI0A,2F9PA,"Serine Protease Htra3, Mutationally Inactivated",2.8,163,245,17.2
43,1TE0A,2F9PA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.8,161,245,15.5
44,1ZYOA,2F9PA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,161,245,14.3
45,2J92A,2F9PA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.0,160,245,11.9
46,2Z9IA,2F9PA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.5,160,245,19.4
47,4FLNA,2F9PA,Crystal Structure Of Plant Protease Deg2,2.7,158,245,19.0
48,5HM2E,2F9PA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.9,157,245,12.7
49,1L1JA,2F9PA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.7,154,245,17.5
50,3UFAA,2F9PA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.0,152,245,16.4
51,5HMAA,2F9PA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.3,151,245,18.5
52,1AGJA,2F9PA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,149,245,16.1
53,3K6YA,2F9PA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,149,245,24.2
54,2XYAA,2F9PA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,145,245,13.8
55,5BPEA,2F9PA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,145,245,17.2
56,2H5CA,2F9PA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.5,140,245,17.1
57,2QA9E,2F9PA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.8,139,245,18.0
58,1LVMA,2F9PA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,139,245,13.7
59,2OUAA,2F9PA,Crystal Structure Of Nocardiopsis Protease (Napase),2.3,132,245,19.7
60,4X2VB,2F9PA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.9,132,245,18.2
61,4ZROA,2F9PA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.2,129,245,13.2
62,5DGJA,2F9PA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.8,129,245,17.8
63,1WYKA,2F9PA,Sindbis Virus Capsid Protein (114-264),3.0,125,245,14.4
64,2HALA,2F9PA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.7,125,245,13.6
65,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
66,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
67,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
68,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
69,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
70,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
71,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
72,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
73,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
74,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
75,3WOKA,1ZYOA,Crystal Structure Of The Dap Bii (space),3.2,161,191,13.7
76,2W5EA,1ZYOA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.9,148,191,18.9
77,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
78,4XFQA,5HMAA,Crystal Structure Basis For Pedv 3c Like Protease,2.8,146,191,15.1
79,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
80,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
81,4WMEA,2XYAA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,137,182,13.9
82,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
83,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
84,1WQSA,4X2VB,Crystal Structure Of Norovirus 3c-Like Protease,1.9,169,185,58.6
85,1LVBB,4X2VB,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,3.0,143,185,14.0
86,3QO6B,1WYKA,Crystal Structure Analysis Of The Plant Protease Deg1,3.2,129,152,11.6
87,4NSYB,1WYKA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,3.5,129,152,10.9
88,1DUAA,1WYKA,Crystal Structure Of Exfoliative Toxin A,3.2,128,152,10.9
89,1MBMA,1WYKA,Nsp4 Proteinase From Equine Arteritis Virus,3.0,125,152,16.8
90,2AYWA,1WYKA,Crystal Structure Of The Complex Formed Between Trypsin And A Designed Synthetic Highly Potent Inhibitor In The Presence Of Benzamidine At 0.97 A Resolution,3.1,125,152,13.6
91,2R3UA,1WYKA,Crystal Structure Of The Pdz Deletion Mutant Of Degs,3.0,125,152,12.8
92,1A5HA,1WYKA,Catalytic Domain Of Human Two-Chain Tissue Plasminogen Activator Complex Of A Bis-Benzamidine,3.0,119,152,14.3
93,3FANA,1WYKA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),3.2,119,152,14.3
94,2YOLA,1WYKA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.6,118,152,14.4
95,1FUJB,1WYKA,Pr3 (Myeloblastin),2.7,117,152,14.5
96,5ETXB,1WYKA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.8,116,152,15.5
97,1GVKB,1WYKA,Porcine Pancreatic Elastase Acyl Enzyme At 0.95 A Resolution,2.6,115,152,13.0
98,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
99,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
100,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
101,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
102,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
103,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
104,4KP0A,4JCNA,Crystal Structure Of The Human Chymase With Tjk002,2.2,164,216,18.3
105,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
106,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
107,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
108,4FLNC,4INKA,Crystal Structure Of Plant Protease Deg2,1.7,154,205,23.4
109,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
110,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
111,1CU1A,5ETXB,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,0.9,191,194,85.9
