,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1AGJA,1QY6A,Epidermolytic Toxin A From Staphylococcus Aureus,1.6,200,274,27.0
1,4XSKU,1QY6A,"Structure Of Paitrap, An Upa Mutant",2.7,199,274,11.1
2,1P3CA,1QY6A,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,198,274,20.2
3,2F91A,1QY6A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",3.0,196,274,13.3
4,4MNWA,1QY6A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.7,196,274,10.2
5,5AVDA,1QY6A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.5,188,274,13.3
6,3WY8A,1QY6A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.5,187,274,17.1
7,1M9UA,1QY6A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.2,186,274,12.4
8,1AZZA,1QY6A,Fiddler Crab Collagenase Complexed To Ecotin,2.3,184,274,13.0
9,3BEUA,1QY6A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.4,183,274,12.0
10,3UFAA,1QY6A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.5,183,274,32.2
11,4A5TS,1QY6A,Structural Basis For The Conformational Modulation,2.6,182,274,14.3
12,1DDJA,1QY6A,Crystal Structure Of Human Plasminogen Catalytic Domain,2.6,181,274,13.8
13,1EQ9A,1QY6A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.1,181,274,17.1
14,2OQ5A,1QY6A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.0,181,274,12.2
15,1EAXA,1QY6A,Crystal Structure Of Mtsp1 (Matriptase),2.0,180,274,14.4
16,1PQ7A,1QY6A,"Trypsin At 0.8 A, Ph5  BORAX",2.2,180,274,16.1
17,4WVPE,1QY6A,Crystal Structure Of An Activity-based Probe Hne Complex,2.2,180,274,12.2
18,3H7OA,1QY6A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.5,179,274,12.8
19,2XW9A,1QY6A,Crystal Structure Of Complement Factor D Mutant S183a,2.2,179,274,10.1
20,2HLCA,1QY6A,Hl Collagenase Structure At 1.7a Resolution,2.2,177,274,16.4
21,1FIZA,1QY6A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.2,177,274,17.5
22,4AFQA,1QY6A,Human Chymase - Fynomer Complex,1.9,177,274,14.7
23,3H7TA,1QY6A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,176,274,11.9
24,2QXIA,1QY6A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.5,175,274,13.7
25,3TVJB,1QY6A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.1,175,274,16.6
26,5EDMA,1QY6A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.7,175,274,13.1
27,1VZQH,1QY6A,Complex Of Thrombin With Designed Inhibitor 7165,2.1,173,274,12.7
28,2AIQA,1QY6A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.3,173,274,9.8
29,3WOKA,1QY6A,Crystal Structure Of The Dap Bii (space),2.4,173,274,19.7
30,4Z6AH,1QY6A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.1,173,274,12.1
31,2B9LA,1QY6A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.7,172,274,14.0
32,3NXPA,1QY6A,Crystal Structure Of Human Prethrombin-1,2.6,172,274,13.4
33,4I8HA,1QY6A,Bovine Trypsin At 0.75 Resolution,2.3,171,274,12.3
34,4LK4A,1QY6A,Structure Of Vibrio Cholerae Vesb Protease,2.2,171,274,14.0
35,2OLGA,1QY6A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.6,170,274,15.9
36,4FXGH,1QY6A,Complement C4 In Complex With Masp-2,1.9,170,274,17.1
37,2XRCB,1QY6A,Human Complement Factor I,2.4,169,274,13.0
38,5HU6C,1QY6A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.0,168,274,13.1
39,4RI0A,1QY6A,"Serine Protease Htra3, Mutationally Inactivated",2.4,166,274,21.7
40,1L1JA,1QY6A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,165,274,24.2
41,1TE0A,1QY6A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.3,165,274,19.4
42,2Z9IA,1QY6A,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.2,165,274,18.2
43,3LGIB,1QY6A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.2,163,274,20.2
44,5HMAA,1QY6A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.2,162,274,17.3
45,5HM2E,1QY6A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,157,274,14.0
46,3K6YA,1QY6A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",1.8,155,274,20.6
47,3F1SB,1QY6A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,154,274,9.7
48,4FLNA,1QY6A,Crystal Structure Of Plant Protease Deg2,2.2,154,274,23.4
