,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1EAXA,2OQ5A,Crystal Structure Of Mtsp1 (Matriptase),1.1,229,232,48.5
1,1FIZA,2OQ5A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.1,227,232,39.6
2,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
3,4MNWA,2OQ5A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.3,226,232,36.7
4,3TVJB,2OQ5A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,225,232,30.7
5,4Z6AH,2OQ5A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.3,225,232,37.3
6,4XSKU,2OQ5A,"Structure Of Paitrap, An Upa Mutant",1.4,225,232,36.9
7,1VZQH,2OQ5A,Complex Of Thrombin With Designed Inhibitor 7165,1.5,224,232,36.2
8,5AVDA,2OQ5A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,224,232,32.1
9,1PQ7A,2OQ5A,"Trypsin At 0.8 A, Ph5  BORAX",1.5,221,232,33.5
10,2F91A,2OQ5A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,221,232,38.9
11,4FXGH,2OQ5A,Complement C4 In Complex With Masp-2,1.4,220,232,30.5
12,2XW9A,2OQ5A,Crystal Structure Of Complement Factor D Mutant S183a,1.4,217,232,33.2
13,1EQ9A,2OQ5A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,215,232,29.8
14,1M9UA,2OQ5A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,213,232,30.0
15,2QXIA,2OQ5A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,213,232,34.3
16,3H7TA,2OQ5A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.7,213,232,22.5
17,1AZZA,2OQ5A,Fiddler Crab Collagenase Complexed To Ecotin,1.7,212,232,33.5
18,3BEUA,2OQ5A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.7,212,232,32.1
19,4I8HA,2OQ5A,Bovine Trypsin At 0.75 Resolution,1.3,212,232,38.7
20,2HLCA,2OQ5A,Hl Collagenase Structure At 1.7a Resolution,1.7,211,232,29.4
21,2AIQA,2OQ5A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.9,211,232,31.8
22,4AFQA,2OQ5A,Human Chymase - Fynomer Complex,1.8,211,232,31.3
23,1DDJA,2OQ5A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,209,232,37.3
24,4A5TS,2OQ5A,Structural Basis For The Conformational Modulation,1.7,209,232,37.8
25,5EDKA,2OQ5A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,209,232,34.9
26,3H7OA,2OQ5A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,208,232,23.1
27,4WVPE,2OQ5A,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,207,232,28.5
28,5EDMA,2OQ5A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.8,206,232,35.0
29,3NXPA,2OQ5A,Crystal Structure Of Human Prethrombin-1,1.9,203,232,35.5
30,2B9LA,2OQ5A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,200,232,29.5
31,2OLGA,2OQ5A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,198,232,33.3
32,3F1SB,2OQ5A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,198,232,23.2
33,5HU6C,2OQ5A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.8,198,232,30.8
34,4LK4A,2OQ5A,Structure Of Vibrio Cholerae Vesb Protease,1.7,183,232,30.6
35,1WCZA,2OQ5A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,182,232,12.1
36,1P3CA,2OQ5A,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,176,232,17.0
37,2XRCB,2OQ5A,Human Complement Factor I,1.8,174,232,39.1
38,1ARBA,2OQ5A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,171,232,15.8
39,1AGJA,2OQ5A,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,169,232,15.4
40,3WY8A,2OQ5A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.0,169,232,11.2
41,4FLNA,2OQ5A,Crystal Structure Of Plant Protease Deg2,2.8,167,232,15.0
42,1ZYOA,2OQ5A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.8,166,232,16.3
43,3LGIB,2OQ5A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.7,166,232,13.9
44,1L1JA,2OQ5A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.7,160,232,11.9
45,1TE0A,2OQ5A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,159,232,13.2
46,5HMAA,2OQ5A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,158,232,12.7
47,2Z9IA,2OQ5A,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.1,156,232,14.7
48,2HALA,2OQ5A,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.2,156,232,12.8
49,3UFAA,2OQ5A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.8,156,232,14.7
50,4RI0A,2OQ5A,"Serine Protease Htra3, Mutationally Inactivated",2.5,156,232,13.5
51,3K6YA,2OQ5A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,155,232,15.5
52,5HM2E,2OQ5A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.9,154,232,14.3
53,2J92A,2OQ5A,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.0,153,232,13.7
54,3WOKA,2OQ5A,Crystal Structure Of The Dap Bii (space),2.2,151,232,15.9
55,5BPEA,2OQ5A,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,143,232,16.1
56,2XYAA,2OQ5A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,142,232,12.7
57,1LVMA,2OQ5A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.0,141,232,11.3
