,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4I8HA,1DPOA,Bovine Trypsin At 0.75 Resolution,0.4,223,223,73.5
1,2QXIA,1DPOA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.1,221,223,43.4
2,5AVDA,1DPOA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.1,220,223,38.2
3,1AZZA,1DPOA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,219,223,39.3
4,1FIZA,1DPOA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.3,219,223,36.1
5,1EAXA,1DPOA,Crystal Structure Of Mtsp1 (Matriptase),0.9,219,223,41.1
6,1VZQH,1DPOA,Complex Of Thrombin With Designed Inhibitor 7165,1.3,218,223,38.1
7,2F91A,1DPOA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.2,218,223,47.2
8,4Z6AH,1DPOA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.2,218,223,44.5
9,2AIQA,1DPOA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.5,217,223,40.1
10,2XW9A,1DPOA,Crystal Structure Of Complement Factor D Mutant S183a,1.3,217,223,35.0
11,4MNWA,1DPOA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,216,223,35.6
12,4XSKU,1DPOA,"Structure Of Paitrap, An Upa Mutant",1.6,216,223,35.6
13,1PQ7A,1DPOA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,215,223,37.2
14,4AFQA,1DPOA,Human Chymase - Fynomer Complex,1.5,215,223,38.1
15,3TVJB,1DPOA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.2,214,223,35.0
16,4FXGH,1DPOA,Complement C4 In Complex With Masp-2,1.3,214,223,35.0
17,2OQ5A,1DPOA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.2,211,223,39.3
18,5EDMA,1DPOA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,211,223,37.4
19,1EQ9A,1DPOA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.2,210,223,36.2
20,1M9UA,1DPOA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,210,223,34.8
21,3BEUA,1DPOA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,209,223,31.1
22,2HLCA,1DPOA,Hl Collagenase Structure At 1.7a Resolution,1.6,207,223,33.3
23,4WVPE,1DPOA,Crystal Structure Of An Activity-based Probe Hne Complex,1.5,207,223,34.8
24,3H7TA,1DPOA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.8,206,223,28.6
25,3H7OA,1DPOA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,205,223,26.3
26,1DDJA,1DPOA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,204,223,41.7
27,3NXPA,1DPOA,Crystal Structure Of Human Prethrombin-1,1.8,201,223,39.3
28,4A5TS,1DPOA,Structural Basis For The Conformational Modulation,1.6,200,223,42.0
