,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2J92A,1HAVA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.3,190,217,20.5
1,5HM2E,1HAVA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.3,190,217,18.9
2,1LVMA,1HAVA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.7,170,217,14.7
3,3LGIB,1HAVA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.2,169,217,12.4
4,1EAXA,1HAVA,Crystal Structure Of Mtsp1 (Matriptase),3.3,166,217,12.7
5,3NXPA,1HAVA,Crystal Structure Of Human Prethrombin-1,3.4,166,217,13.9
6,5HMAA,1HAVA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.9,166,217,16.3
7,5BPEA,1HAVA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.0,165,217,21.8
8,5AVDA,1HAVA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,3.4,164,217,12.2
9,1L1JA,1HAVA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.9,163,217,12.9
10,1FIZA,1HAVA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.9,162,217,13.0
11,3F1SB,1HAVA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,3.2,162,217,6.8
12,5EDMA,1HAVA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),3.2,161,217,13.7
13,4Z6AH,1HAVA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,3.2,160,217,12.5
14,1LCYA,1HAVA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.0,159,217,10.7
15,5EDKA,1HAVA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),3.3,159,217,12.6
16,2Z9IA,1HAVA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.7,158,217,14.6
17,2XYAA,1HAVA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.0,158,217,22.2
18,3TVJB,1HAVA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,3.1,158,217,15.2
19,2OQ5A,1HAVA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",3.1,157,217,12.7
20,4FXGH,1HAVA,Complement C4 In Complex With Masp-2,3.2,155,217,14.8
