,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1P3CA,2W5EA,Glutamyl Endopeptidase From Bacillus Intermedius,2.5,149,163,16.8
1,3LGIB,2W5EA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.3,149,163,14.8
2,1ZYOA,2W5EA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.9,148,163,18.9
3,1ARBA,2W5EA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.4,148,163,14.2
4,1TE0A,2W5EA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,147,163,13.6
5,2XYAA,2W5EA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,147,163,19.7
6,5BPEA,2W5EA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,147,163,12.2
7,2Z9IA,2W5EA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,145,163,17.2
8,1LVMA,2W5EA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.8,145,163,16.6
9,4I8HA,2W5EA,Bovine Trypsin At 0.75 Resolution,2.4,144,163,13.9
10,2AIQA,2W5EA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.4,143,163,16.8
11,2QXIA,2W5EA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.4,143,163,12.6
12,3UFAA,2W5EA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.2,142,163,19.7
13,2J92A,2W5EA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.6,140,163,11.4
14,2OUAA,2W5EA,Crystal Structure Of Nocardiopsis Protease (Napase),2.6,139,163,17.3
15,3BEUA,2W5EA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.2,139,163,15.1
16,2HALA,2W5EA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.5,138,163,11.6
17,4RI0A,2W5EA,"Serine Protease Htra3, Mutationally Inactivated",2.3,138,163,21.7
18,5HM2E,2W5EA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.8,138,163,10.1
19,4Z6AH,2W5EA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.5,137,163,13.1
20,1L1JA,2W5EA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.0,136,163,22.8
21,3WY8A,2W5EA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.3,136,163,15.4
22,3WOKA,2W5EA,Crystal Structure Of The Dap Bii (space),2.2,135,163,18.5
23,5HU6C,2W5EA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.4,134,163,10.4
24,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
25,1WCZA,2W5EA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,133,163,20.3
26,2F91A,2W5EA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.3,133,163,15.0
27,4WMEA,2W5EA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,133,163,14.3
28,1DDJA,2W5EA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.4,132,163,15.2
29,5AVDA,2W5EA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.4,132,163,15.2
30,5HMAA,2W5EA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),1.9,132,163,15.9
31,3K6YA,2W5EA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",1.8,130,163,24.6
32,4FLNA,2W5EA,Crystal Structure Of Plant Protease Deg2,1.8,130,163,21.5
33,4ZROA,2W5EA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.5,130,163,7.7
34,1AGJA,2W5EA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,129,163,16.3
35,1FIZA,2W5EA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.2,129,163,17.1
36,1PQ7A,2W5EA,"Trypsin At 0.8 A, Ph5  BORAX",2.3,129,163,18.6
37,3H7TA,2W5EA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,129,163,17.1
38,3FANA,2W5EA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.6,129,163,18.6
39,1EQ9A,2W5EA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.3,128,163,13.3
40,1EAXA,2W5EA,Crystal Structure Of Mtsp1 (Matriptase),2.2,128,163,14.8
41,3H7OA,2W5EA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.1,128,163,18.0
42,4MNWA,2W5EA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.4,128,163,14.8
43,4XSKU,2W5EA,"Structure Of Paitrap, An Upa Mutant",2.3,128,163,14.1
44,2OQ5A,2W5EA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.2,127,163,11.8
45,3F1SB,2W5EA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,127,163,11.8
46,1AZZA,2W5EA,Fiddler Crab Collagenase Complexed To Ecotin,1.9,126,163,17.5
47,2H5CA,2W5EA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.2,126,163,13.5
48,2QA9E,2W5EA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.1,126,163,15.1
49,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
50,5DGJA,2W5EA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.7,126,163,17.5
51,2HLCA,2W5EA,Hl Collagenase Structure At 1.7a Resolution,2.1,125,163,20.0
52,2OLGA,2W5EA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.2,125,163,18.4
53,3TVJB,2W5EA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.9,125,163,16.8
54,4AFQA,2W5EA,Human Chymase - Fynomer Complex,1.9,125,163,15.2
55,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
56,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
57,5EDMA,2W5EA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.4,125,163,16.0
58,1VZQH,2W5EA,Complex Of Thrombin With Designed Inhibitor 7165,2.2,124,163,16.1
59,2XW9A,2W5EA,Crystal Structure Of Complement Factor D Mutant S183a,2.4,124,163,12.1
60,4FXGH,2W5EA,Complement C4 In Complex With Masp-2,1.9,124,163,16.1
61,5EU8A,2W5EA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.4,124,163,8.1
62,5ETXC,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.6,122,163,13.9
63,1WYKA,2W5EA,Sindbis Virus Capsid Protein (114-264),3.0,120,163,14.2
64,3NXPA,2W5EA,Crystal Structure Of Human Prethrombin-1,2.1,120,163,15.8
65,4XFQA,2W5EA,Crystal Structure Basis For Pedv 3c Like Protease,2.2,119,163,11.8
66,1M9UA,2W5EA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.3,118,163,13.6
67,5EDKA,2W5EA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.2,118,163,16.9
68,2YOLA,2W5EA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.9,117,163,15.4
69,2XRCB,2W5EA,Human Complement Factor I,2.1,115,163,18.3
70,4WVPE,2W5EA,Crystal Structure Of An Activity-based Probe Hne Complex,2.0,115,163,13.9
71,4X2VB,2W5EA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.4,114,163,17.5
72,2HRVA,2W5EA,2a Cysteine Proteinase From Human Rhinovirus 2,2.1,97,163,11.3
73,4MG3B,2W5EA,Crystal Structural Analysis Of 2a Protease From Coxsackievirus A16,2.4,96,163,12.5
74,4LK4A,1P3CA,Structure Of Vibrio Cholerae Vesb Protease,2.1,162,215,17.3
75,4A5TS,1ZYOA,Structural Basis For The Conformational Modulation,2.7,154,191,14.9
76,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
77,4JCNA,5BPEA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,148,180,14.2
78,4CR9A,5BPEA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,2.7,139,180,18.0
79,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
80,2B9LA,4I8HA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,202,223,30.7
81,2XWBF,2AIQA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,187,231,21.9
82,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
83,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
84,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
85,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
86,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
87,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
88,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
89,1CU1A,5EQQA,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,0.8,188,190,86.7
90,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
91,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
92,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
93,3QO6B,1WYKA,Crystal Structure Analysis Of The Plant Protease Deg1,3.2,129,152,11.6
94,4NSYB,1WYKA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,3.5,129,152,10.9
95,1DUAA,1WYKA,Crystal Structure Of Exfoliative Toxin A,3.2,128,152,10.9
